File_Label,Label,Sample,$n>3\sigma$,statistic,FL1_280,FL2_280,FL2_370,Size,AF
3.0,1,Bacillus Atrophaeus (unw),952,mean,94.6,63.9,65.4,1.4,7.7
3.0,1,Bacillus Atrophaeus (unw),,S. D.,47.3,36.1,44.6,0.4,3.8
4.0,1,"Bacillus Atrophaeus (unw, dil)",52,mean,110.3,51.8,43.0,1.3,8.1
4.0,1,"Bacillus Atrophaeus (unw, dil)",,S. D.,84.8,79.7,76.5,0.8,6.1
5.0,1,Bacillus Atrophaeus (w),1171,mean,164.2,60.6,48.5,1.7,9.3
5.0,1,Bacillus Atrophaeus (w),,S. D.,136.4,58.5,55.8,0.8,4.9
6.0,1,"Bacillus Atrophaeus (w, dil)",241,mean,140.7,50.3,46.1,1.7,9.4
6.0,1,"Bacillus Atrophaeus (w, dil)",,S. D.,97.9,57.1,58.4,0.8,5.9
7.0,1,Bacillus Atrophaeus Vegetative Cells (unw),4779,mean,239.3,221.2,192.0,1.1,4.7
7.0,1,Bacillus Atrophaeus Vegetative Cells (unw),,S. D.,287.5,293.3,284.9,0.4,2.0
8.0,1,"Bacillus Atrophaeus Vegetative Cells (unw, dil)",1488,mean,140.5,94.5,68.8,1.0,6.1
8.0,1,"Bacillus Atrophaeus Vegetative Cells (unw, dil)",,S. D.,71.6,70.1,60.4,0.2,3.8
9.0,1,Bacillus Atrophaeus Vegetative Cells (w),1884,mean,214.5,29.8,12.4,1.4,6.4
9.0,1,Bacillus Atrophaeus Vegetative Cells (w),,S. D.,156.7,44.9,33.6,0.6,3.4
10.0,1,"Bacillus Atrophaeus Vegetative Cells (w, dil)",2064,mean,153.8,19.0,7.4,1.1,11.0
10.0,1,"Bacillus Atrophaeus Vegetative Cells (w, dil)",,S. D.,43.2,19.3,17.7,0.2,5.8
13.0,1,E coli. (unw),3684,mean,222.5,240.4,247.7,1.2,4.7
13.0,1,E coli. (unw),,S. D.,301.6,351.1,375.5,0.5,2.0
14.0,1,"E coli. (unw, dil)",1448,mean,139.3,70.0,63.9,1.0,5.5
14.0,1,"E coli. (unw, dil)",,S. D.,99.2,56.1,59.6,0.2,2.5
15.0,1,E coli. (w),2365,mean,351.4,12.5,0.8,1.6,7.5
15.0,1,E coli. (w),,S. D.,317.8,30.7,22.5,0.8,4.7
16.0,1,"E coli. (w, dil)",835,mean,202.6,10.7,4.1,1.0,6.6
16.0,1,"E coli. (w, dil)",,S. D.,56.3,20.2,20.8,0.2,2.8
2.0,2,Bermuda grass,2681,mean,138.1,46.5,97.9,3.6,12.6
2.0,2,Bermuda grass,,S. D.,122.7,134.7,153.9,1.2,6.4
19.0,2,Johnson Grass I,1209,mean,160.5,97.4,154.9,3.5,11.0
19.0,2,Johnson Grass I,,S. D.,419.7,280.4,169.2,1.0,6.0
20.0,2,Johnson Grass II,2673,mean,66.7,25.7,124.4,3.3,11.6
20.0,2,Johnson Grass II,,S. D.,28.9,48.3,89.4,0.8,5.7
11.0,3,Birch pollen,111,mean,662.0,433.7,250.4,4.0,8.3
11.0,3,Birch pollen,,S. D.,854.8,586.9,280.0,1.6,6.9
21.0,3,Paper mulberry I,233,mean,668.3,1228.4,1247.9,7.3,10.9
21.0,3,Paper mulberry I,,S. D.,583.0,851.5,856.6,4.7,7.1
22.0,3,Paper mulberry II,397,mean,142.8,159.6,229.2,3.5,13.5
22.0,3,Paper mulberry II,,S. D.,188.7,412.3,443.4,1.4,6.5
23.0,3,Ragweed I,123,mean,384.6,219.5,173.2,3.6,10.0
23.0,3,Ragweed I,,S. D.,698.7,447.9,211.1,1.3,6.5
24.0,3,Ragweed II,209,mean,928.2,625.1,310.6,4.7,7.9
24.0,3,Ragweed II,,S. D.,953.9,643.9,303.1,1.7,7.3
12.0,4,Diesel smoke,11,mean,161.1,146.5,78.4,1.2,7.8
12.0,4,Diesel smoke,,S. D.,204.3,166.2,96.3,0.3,7.5
17.0,4,Grass smoke I,2542,mean,9.8,52.0,110.9,1.2,4.4
17.0,4,Grass smoke I,,S. D.,18.2,33.3,66.9,0.4,1.9
18.0,4,Grass smoke II,815,mean,10.9,44.2,108.0,1.2,4.9
18.0,4,Grass smoke II,,S. D.,19.2,32.7,59.2,0.4,2.4
